time	V(n010)
2.851946155516507e-02	-2.566107e-02
2.864274623759063e-02	-3.842820e-02
2.875791895282838e-02	-4.379901e-02
2.886801160116762e-02	-4.319322e-02
2.900000000000000e-02	-3.767237e-02
2.901419844452154e-02	-3.662721e-02
2.904259533356462e-02	-3.477600e-02
2.909938911165078e-02	-3.209595e-02
2.921297666782310e-02	-3.051552e-02
2.944015178016775e-02	-3.730378e-02
2.965450985943473e-02	-5.506523e-02
2.995332483612101e-02	-9.304214e-02
3.000000000000000e-02	-1.002714e-01
3.002503852819728e-02	-1.041933e-01
3.007511558459185e-02	-1.109952e-01
3.017526969738098e-02	-1.199192e-01
3.037557792295925e-02	-1.221040e-01
3.071973415062602e-02	-9.433239e-02
3.100000000000000e-02	-5.111777e-02
3.103403106003695e-02	-4.362812e-02
3.110209318011084e-02	-2.906790e-02
3.123821742025863e-02	-1.774696e-03
3.151046590055420e-02	4.683849e-02
3.200000000000000e-02	1.251493e-01
3.205444969605912e-02	1.331923e-01
3.216334908817735e-02	1.505344e-01
3.238114787241381e-02	1.896920e-01
3.265273296004421e-02	2.456930e-01
3.300000000000000e-02	3.246367e-01
3.305431701752608e-02	3.348996e-01
3.316295105257824e-02	3.484401e-01
3.338021912268256e-02	3.473271e-01
3.375676651309691e-02	2.898270e-01
3.400000000000000e-02	2.242390e-01
3.404544819475255e-02	2.091230e-01
3.413634458425766e-02	1.832282e-01
3.431813736326786e-02	1.482560e-01
3.459443338196741e-02	1.306085e-01
3.497881901423244e-02	1.473693e-01
3.500000000000000e-02	1.498886e-01
3.501094650092122e-02	1.516120e-01
3.503283950276364e-02	1.547809e-01
3.507662550644848e-02	1.599287e-01
3.516419751381816e-02	1.657619e-01
3.533934152855753e-02	1.616146e-01
3.568962955803626e-02	1.141699e-01
3.600000000000000e-02	4.380986e-02
3.603929806619143e-02	3.244268e-02
3.611789419857428e-02	1.193886e-02
3.622828713301431e-02	-1.152999e-02
3.635220088769080e-02	-2.895209e-02
3.660002839704380e-02	-4.257322e-02
3.686997837063218e-02	-3.635868e-02
3.700000000000000e-02	-2.561319e-02
3.703059824530494e-02	-2.223487e-02
3.709179473591482e-02	-1.660133e-02
3.720321537008770e-02	-9.840494e-03
3.732235840904136e-02	-7.968367e-03
3.751939090373387e-02	-1.522538e-02
3.772158988400950e-02	-3.425362e-02
3.800000000000000e-02	-7.288177e-02
3.803320849296686e-02	-7.803600e-02
3.809962547890059e-02	-8.615568e-02
3.823245945076805e-02	-9.357841e-02
3.844436087669147e-02	-8.498699e-02
3.873941443010619e-02	-4.124837e-02
3.900000000000000e-02	1.887042e-02
3.902501193582702e-02	2.631724e-02
3.907503580748105e-02	4.053853e-02
3.917508355078911e-02	6.598924e-02
3.937517903740523e-02	1.062706e-01
3.977407443119526e-02	1.632478e-01
4.000000000000000e-02	1.849466e-01
4.026404151479551e-02	1.996645e-01
4.056580324599039e-02	2.175746e-01
4.100000000000000e-02	2.443221e-01
4.106035234623898e-02	2.449703e-01
4.118105703871693e-02	2.394187e-01
4.142246642367282e-02	2.027323e-01
4.177344106168102e-02	1.082869e-01
4.200000000000000e-02	2.662216e-02
4.204549759080512e-02	8.724753e-03
4.213649277241535e-02	-2.353221e-02
4.224960682080803e-02	-5.542148e-02
4.242282448793611e-02	-8.546185e-02
4.273245236750257e-02	-1.021724e-01
4.300000000000000e-02	-9.154164e-02
4.303303327558105e-02	-8.805658e-02
4.309909982674314e-02	-8.328387e-02
4.323123292906733e-02	-8.225323e-02
4.342471317453676e-02	-9.957632e-02
4.373916275506938e-02	-1.620818e-01
4.400000000000000e-02	-2.357270e-01
4.402808456549175e-02	-2.448905e-01
4.408425369647527e-02	-2.607391e-01
4.419659195844230e-02	-2.813283e-01
4.442126848237635e-02	-2.919872e-01
4.464768647796855e-02	-2.640446e-01
4.499442291203126e-02	-1.736688e-01
4.500000000000000e-02	-1.717255e-01
4.500433788580535e-02	-1.699757e-01
4.503036520063747e-02	-1.597976e-01
4.506363289586100e-02	-1.474147e-01
4.513016828630808e-02	-1.246029e-01
4.526323906720223e-02	-8.608510e-02
4.552938062899052e-02	-2.865802e-02
4.583754601004480e-02	1.516340e-02
4.600000000000000e-02	2.914623e-02
4.609362522392078e-02	3.352947e-02
4.621845885581517e-02	4.013501e-02
4.646812611960393e-02	5.561974e-02
4.696746064718145e-02	9.060458e-02
4.700000000000000e-02	9.308643e-02
4.703607535415989e-02	9.558762e-02
4.710822606247967e-02	9.966548e-02
4.725252747911923e-02	1.037203e-01
4.754113031239834e-02	1.003298e-01
4.787603075274940e-02	8.377849e-02
4.800000000000000e-02	7.414705e-02
4.803237373105401e-02	7.117864e-02
4.809712119316201e-02	6.567878e-02
4.822661611737802e-02	5.661549e-02
4.848560596581005e-02	4.458623e-02
4.889559248864491e-02	3.462838e-02
4.900000000000000e-02	3.386427e-02
4.902607560257841e-02	3.358596e-02
4.907822680773521e-02	3.203882e-02
4.918252921804881e-02	2.532711e-02
4.931109231319056e-02	9.845089e-03
4.956821850347407e-02	-3.959987e-02
4.986080852695548e-02	-1.153083e-01
5.000000000000000e-02	-1.583832e-01
5.001815174192828e-02	-1.646073e-01
5.004235406449931e-02	-1.725968e-01
5.009075870964139e-02	-1.876096e-01
5.018756799992553e-02	-2.140350e-01
5.038118658049381e-02	-2.551358e-01
5.070672732205243e-02	-3.004896e-01
5.100000000000000e-02	-3.240924e-01
5.104116212291485e-02	-3.254477e-01
5.112348636874453e-02	-3.291645e-01
5.128813486040390e-02	-3.409840e-01
5.161743184372264e-02	-3.767161e-01
5.200000000000000e-02	-4.298204e-01
5.206585939666375e-02	-4.376371e-01
5.219757818999125e-02	-4.459018e-01
5.246101577664623e-02	-4.318788e-01
5.297654500376990e-02	-3.508527e-01
5.300000000000000e-02	-3.452942e-01
5.301989809547943e-02	-3.397442e-01
5.305969428643828e-02	-3.292530e-01
5.313928666835600e-02	-3.109980e-01
5.329847143219143e-02	-2.844216e-01
5.361684095986229e-02	-2.584163e-01
5.400000000000000e-02	-2.541812e-01
5.406192408644021e-02	-2.566683e-01
5.418577225932062e-02	-2.580642e-01
5.443346860508145e-02	-2.458030e-01
5.492886129660311e-02	-1.929141e-01
5.500000000000000e-02	-1.821603e-01
5.505968943907084e-02	-1.725123e-01
5.517906831721250e-02	-1.559892e-01
5.541782607349584e-02	-1.343336e-01
5.586224390791841e-02	-1.154144e-01
5.600000000000000e-02	-1.147167e-01
5.604965267225892e-02	-1.152444e-01
5.614895801677676e-02	-1.147890e-01
5.634756870581244e-02	-1.073624e-01
5.674479008388381e-02	-7.736771e-02
5.700000000000000e-02	-5.029295e-02
5.705402783304354e-02	-4.415543e-02
5.716208349913061e-02	-3.434987e-02
5.737819483130475e-02	-2.277146e-02
5.758296993860697e-02	-2.170114e-02
5.789974838631663e-02	-3.367990e-02
5.800000000000000e-02	-4.029687e-02
5.803052836659445e-02	-4.262381e-02
5.809158509978336e-02	-4.644431e-02
5.821369856616115e-02	-5.042868e-02
5.844957436855315e-02	-4.738006e-02
5.878641055607111e-02	-2.672310e-02
5.900000000000000e-02	-5.594574e-03
5.903704947898610e-02	-1.250030e-03
5.911114843695831e-02	6.553554e-03
5.919944193863744e-02	1.402272e-02
5.930954080780560e-02	1.988840e-02
5.952973854614193e-02	2.318619e-02
5.978544846988586e-02	1.678670e-02
6.000000000000000e-02	4.663050e-03
6.000953522250094e-02	3.891916e-03
6.002860566750282e-02	2.490041e-03
6.006674655750659e-02	1.997626e-04
6.012095424870761e-02	-1.790518e-03
6.022936963110966e-02	-1.709142e-03
6.040593300214416e-02	6.928184e-03
6.059428863632985e-02	2.745892e-02
6.086809469705396e-02	7.251080e-02
6.100000000000000e-02	9.928542e-02
6.103710917441639e-02	1.072389e-01
6.111132752324917e-02	1.213964e-01
6.125976422091475e-02	1.419780e-01
6.155663761624589e-02	1.623579e-01
6.185897025694289e-02	1.628373e-01
6.200000000000000e-02	1.559925e-01
6.203049097333616e-02	1.539571e-01
6.209147292000847e-02	1.511054e-01
6.221343681335308e-02	1.508375e-01
6.245736460004232e-02	1.668407e-01
6.280074111487917e-02	2.136934e-01
6.300000000000000e-02	2.518447e-01
6.312793710103033e-02	2.849360e-01
6.329851990240411e-02	3.348936e-01
6.363968550515166e-02	4.483816e-01
6.400000000000000e-02	5.800042e-01
6.406823312054952e-02	6.107053e-01
6.420469936164853e-02	6.791946e-01
6.447763184384657e-02	8.451814e-01
6.500000000000000e-02	1.211396e+00
6.505458649643961e-02	1.249871e+00
6.516375948931882e-02	1.313678e+00
6.538210547507725e-02	1.385000e+00
6.581879744659411e-02	1.407858e+00
6.600000000000000e-02	1.378050e+00
6.606780400789705e-02	1.359975e+00
6.620341202369116e-02	1.335500e+00
